test_name,method,ground_truth,sonarqube,semgrep,spotbugs,zap,pmd,findbugs,findsecbugs,num_tools,num_disagree,semgrep_and_zap,spotbugs_and_zap,zap_weighted,zap_relevant
WebGoat/JWT/final/delete?token=,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/LessonTemplate.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/MissingFunctionAC.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/PasswordReset.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/PasswordReset/SecurityQuestions,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/PasswordReset/questions,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/PasswordReset/simple-mail/reset,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/PathTraversal.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/PathTraversal/profile-upload,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/PathTraversal/profile-upload-fix,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/PathTraversal/profile-upload-remove-user-input,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SSRF.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SecurePasswords.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjection.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjection/assignment5a,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjection/assignment5b,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjection/attack10,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjection/attack2,GET,1,0,1,1,1,0,0,0,3,1,1,1,0,0
WebGoat/SqlInjection/attack3,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjection/attack4,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjection/attack8,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjection/attack9,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjectionAdvanced.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjectionAdvanced/attack6a,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjectionAdvanced/challenge,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjectionMitigations.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlInjectionMitigations/servers?column={ignore_field},GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlOnlyInputValidation/attack,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/SqlOnlyInputValidationOnKeywords/attack,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/VulnerableComponents.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/VulnerableComponents/attack1,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/WebGoatIntroduction.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/WebWolfIntroduction.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/XXE.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/challenge/5,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/csrf/review,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/js/goatApp/templates/paging_controls.html,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/js/goatApp/templates/report_card.html,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/js/libs/jquery.form.js,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/js/libs/jquery.min.js,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/start.mvc,GET,1,0,1,1,1,0,0,0,3,1,1,1,0,0
WebGoat/xxe/blind,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/xxe/content-type,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/xxe/simple,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
XXE,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
XXE/comments,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
XXE/ping,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
XXE/simplexxe,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
XXE/xxe,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
://.*/WebGoat/PathTraversal/random-picture?id=,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
://.*/WebGoat/xxe/blind,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
://.*/WebGoat/xxe/content-type,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
